Version,File_Name,LOC,LOC_touched,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Bugginess
1,tajo-common/src/main/java/org/apache/tajo/json/CommonGsonHelper.java,59,70,1,1,70,70,70.00,70,70,70.00,126,126,126.00,Yes
1,tajo-common/src/main/java/org/apache/tajo/json/DataTypeAdapter.java,53,71,3,1,67,64,22.33,63,64,21.00,1339,1118,446.33,Yes
1,tajo-common/src/main/java/org/apache/tajo/json/DatumAdapter.java,41,83,3,1,65,55,21.67,47,55,15.67,1339,1118,446.33,Yes
1,tajo-common/src/main/java/org/apache/tajo/json/GsonHelper.java,42,49,1,1,49,49,49.00,49,49,49.00,126,126,126.00,Yes
1,tajo-common/src/main/java/org/apache/tajo/json/GsonObject.java,21,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,tajo-common/src/main/java/org/apache/tajo/json/GsonSerDerAdapter.java,22,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,tajo-common/src/main/java/org/apache/tajo/json/PathDeserializer.java,34,42,2,1,41,40,20.50,40,40,20.00,1244,1118,622.00,Yes
1,tajo-common/src/main/java/org/apache/tajo/json/PathSerializer.java,36,60,3,1,51,40,17.00,42,40,14.00,1339,1118,446.33,Yes
1,tajo-common/src/main/java/org/apache/tajo/storage/Tuple.java,49,82,2,2,81,78,40.50,80,78,40.00,1123,1118,561.50,Yes
1,tajo-common/src/main/java/org/apache/tajo/unit/StorageUnit.java,26,29,1,1,29,29,29.00,29,29,29.00,1118,1118,1118.00,No
1,tajo-common/src/main/java/org/apache/tajo/unit/TimeUnit.java,26,29,1,1,29,29,29.00,29,29,29.00,1118,1118,1118.00,No
1,tajo-common/src/main/java/org/apache/tajo/util/BitArray.java,85,109,2,2,107,99,53.50,105,99,52.50,1122,1118,561.00,No
1,tajo-common/src/main/java/org/apache/tajo/util/Bytes.java,1592,1755,4,2,1743,1624,435.75,1731,1624,432.75,1229,1118,307.25,Yes
1,tajo-common/src/main/java/org/apache/tajo/util/CommonTestingUtil.java,49,61,3,1,60,57,20.00,59,57,19.67,1199,1118,399.67,No
1,tajo-common/src/main/java/org/apache/tajo/util/FileUtil.java,87,93,1,1,93,93,93.00,93,93,93.00,1118,1118,1118.00,No
1,tajo-common/src/main/java/org/apache/tajo/util/JarUtil.java,61,64,1,1,64,64,64.00,64,64,64.00,1118,1118,1118.00,No
1,tajo-common/src/main/java/org/apache/tajo/util/NetUtils.java,92,112,5,2,107,39,21.40,102,38,20.40,1325,1118,265.00,Yes
1,tajo-common/src/main/java/org/apache/tajo/util/NumberUtil.java,61,73,2,2,73,43,36.50,73,43,36.50,1149,1118,574.50,No
1,tajo-common/src/main/java/org/apache/tajo/util/ReflectionUtil.java,34,39,1,1,39,39,39.00,39,39,39.00,1118,1118,1118.00,No
1,tajo-common/src/main/java/org/apache/tajo/util/StringUtils.java,52,57,1,1,57,57,57.00,57,57,57.00,5,5,5.00,Yes
1,tajo-common/src/main/java/org/apache/tajo/util/TUtil.java,174,240,8,1,220,104,27.50,200,104,25.00,1681,1118,210.13,No
1,tajo-common/src/main/java/org/apache/tajo/util/TajoIdUtils.java,32,223,3,1,131,83,43.67,39,83,13.00,1295,1118,431.67,No
1,tajo-common/src/test/java/org/apache/tajo/common/type/TestIPv4.java,79,84,1,1,84,84,84.00,84,84,84.00,1118,1118,1118.00,No
1,tajo-common/src/test/java/org/apache/tajo/common/type/TestTimeRange.java,52,57,1,1,57,57,57.00,57,57,57.00,1118,1118,1118.00,No
1,tajo-common/src/test/java/org/apache/tajo/datum/TestBitDatum.java,75,86,3,2,85,76,28.33,84,76,28.00,1253,1118,417.67,No
1,tajo-common/src/test/java/org/apache/tajo/datum/TestBoolDatum.java,77,86,4,2,84,75,21.00,82,75,20.50,1299,1118,324.75,Yes
1,tajo-common/src/test/java/org/apache/tajo/datum/TestBytesDatum.java,56,70,3,2,66,55,22.00,62,55,20.67,1275,1118,425.00,No
1,tajo-common/src/test/java/org/apache/tajo/datum/TestCharDatum.java,83,122,3,3,108,87,36.00,94,87,31.33,1165,1118,388.33,No
1,tajo-common/src/test/java/org/apache/tajo/datum/TestDatum.java,306,314,1,1,314,314,314.00,314,314,314.00,1118,1118,1118.00,No
1,tajo-common/src/test/java/org/apache/tajo/datum/TestDatumFactory.java,66,75,1,1,75,75,75.00,75,75,75.00,1118,1118,1118.00,No
1,tajo-common/src/test/java/org/apache/tajo/datum/TestFloat8Datum.java,66,77,2,2,77,70,38.50,77,70,38.50,1149,1118,574.50,No
1,tajo-common/src/test/java/org/apache/tajo/datum/TestFloatDatum.java,66,77,2,2,77,70,38.50,77,70,38.50,1149,1118,574.50,No
1,tajo-common/src/test/java/org/apache/tajo/datum/TestInet4Datum.java,73,88,3,2,85,75,28.33,82,75,27.33,1275,1118,425.00,No
1,tajo-common/src/test/java/org/apache/tajo/datum/TestInt2Datum.java,66,77,2,2,77,70,38.50,77,70,38.50,1149,1118,574.50,No
1,tajo-common/src/test/java/org/apache/tajo/datum/TestInt4Datum.java,65,77,2,2,77,70,38.50,77,70,38.50,1149,1118,574.50,No
1,tajo-common/src/test/java/org/apache/tajo/datum/TestInt8Datum.java,66,77,2,2,77,70,38.50,77,70,38.50,1149,1118,574.50,No
1,tajo-common/src/test/java/org/apache/tajo/datum/TestTextDatum.java,68,77,2,2,77,70,38.50,77,70,38.50,1149,1118,574.50,No
1,tajo-common/src/test/java/org/apache/tajo/datum/protobuf/TestProtobufDatum.java,44,54,1,1,54,54,54.00,54,54,54.00,78,78,78.00,No
1,tajo-common/src/test/java/org/apache/tajo/util/TestBitArrayTest.java,65,82,2,2,79,40,39.50,76,39,38.00,1122,1118,561.00,No
1,tajo-common/src/test/java/org/apache/tajo/util/TestBytes.java,52,64,1,1,64,64,64.00,64,64,64.00,31,31,31.00,No
1,tajo-common/src/test/java/org/apache/tajo/util/TestFileUtils.java,99,107,1,1,107,107,107.00,107,107,107.00,1118,1118,1118.00,No
